Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,108.5,-85.0,0.0,top
C2,0.33uF,C_0603_1608Metric,101.775,-96.0,180.0,top
C3,470uF,C_Elec_10x10.2,106.0,-77.5,0.0,top
C4,0.1uF,C_0603_1608Metric,109.088,-97.61,180.0,top
C5,100uF,C_Elec_10x10.2,106.0,-106.0,180.0,top
C6,0.1uF,C_0603_1608Metric,109.088,-92.784,180.0,top
C7,0.1uF,C_0603_1608Metric,67.5,-89.5,-90.0,top
C8,1nF,C_0603_1608Metric,73.0,-86.0,180.0,top
C9,0.01uF,C_0805_2012Metric,158.25,-57.825,-90.0,top
C10,0.01uF,C_0805_2012Metric,158.25,-39.4,-90.0,top
C11,0.1uF,C_0603_1608Metric,62.06,-119.06,-90.0,top
C12,1nF,C_0603_1608Metric,67.56,-115.06,180.0,top
C13,0.1uF,C_0603_1608Metric,64.465,-105.035,-90.0,top
C14,1nF,C_0603_1608Metric,69.965,-101.035,180.0,top
C15,0.01uF,C_0805_2012Metric,158.25,-63.6,-90.0,top
C16,0.01uF,C_0805_2012Metric,158.25,-82.0,-90.0,top
D1,S10MC,D_SMC,62.0,-36.0,90.0,top
D2,D_Schottky,D_SMA,72.56,-125.56,90.0,top
D3,D_Schottky,D_SMA,75.465,-111.5,90.0,top
D4,D_Schottky,D_SMA,78.5125,-96.035,90.0,top
F1,Fuse,Fuseholder_Cylinder-5x20mm,81.0,-77.5,0.0,top
IC1,ESP32-30pin,ESP32-30pin,136.0,-99.0,90.0,top
J1,POWER,JST_VH_S2P-VH_1x02_P3.96mm_Horizontal,74.7,-27.02,90.0,top
J2,ON/OFF,JST_VH_S2P-VH_1x02_P3.96mm_Horizontal,74.7,-38.5,90.0,top
J3,RSA DEW,TE_MATE-N-LOK_1x04_P5.08mm_Horizontal,73.08,-57.38,90.0,top
J4,5V,PinHeader_1x03_P2.54mm_Vertical,118.0,-38.025,0.0,top
J5,CURRENT EN,PinHeader_2x03_P2.54mm_Horizontal,99.65,-121.525,0.0,top
J11,OLED,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,168.5,-119.5,180.0,top
J12,I2C,PinHeader_1x04_P2.54mm_Horizontal,141.625,-37.24,180.0,top
J13,GND,PinHeader_1x03_P2.54mm_Vertical,118.0,-59.5,0.0,top
J14,3V3,PinHeader_1x03_P2.54mm_Vertical,118.0,-48.485,0.0,top
